Country,Discipline,count
United States of America,Athletics,144
Germany,Athletics,95
Great Britain,Athletics,75
Italy,Athletics,73
Japan,Athletics,70
France,Athletics,66
Australia,Athletics,65
Poland,Athletics,64
Spain,Athletics,58
Canada,Athletics,56
Jamaica,Athletics,54
Brazil,Athletics,53
People's Republic of China,Athletics,53
Ukraine,Athletics,48
Netherlands,Athletics,44
Australia,Football,43
Japan,Football,42
Brazil,Football,41
New Zealand,Football,39
Ethiopia,Athletics,39
United States of America,Swimming,39
Great Britain,Rowing,39
United States of America,Baseball/Softball,38
Japan,Baseball/Softball,37
Australia,Rowing,37
Kenya,Athletics,37
Mexico,Baseball/Softball,37
United States of America,Rowing,36
Argentina,Hockey,35
India,Hockey,35
Spain,Hockey,35
South Africa,Hockey,35
Australia,Hockey,35
Netherlands,Rowing,34
Romania,Rowing,34
Great Britain,Hockey,34
Netherlands,Hockey,33
Germany,Hockey,33
Belarus,Athletics,33
Japan,Hockey,32
Japan,Rugby Sevens,32
Czech Republic,Athletics,31
South Africa,Athletics,30
Australia,Swimming,30
Belgium,Athletics,30
New Zealand,Hockey,30
Norway,Handball,30
Switzerland,Athletics,30
Italy,Swimming,29
Spain,Handball,29
Canada,Rowing,28
Japan,Handball,28
Sweden,Handball,28
France,Handball,28
Brazil,Handball,28
ROC,Swimming,28
Ireland,Athletics,27
Great Britain,Swimming,27
Spain,Water Polo,26
People's Republic of China,Rowing,26
United States of America,Water Polo,25
Japan,Swimming,25
India,Athletics,25
Australia,Water Polo,25
People's Republic of China,Swimming,25
New Zealand,Rowing,25
Hungary,Water Polo,25
Turkey,Athletics,24
Colombia,Athletics,24
People's Republic of China,Shooting,24
United States of America,Rugby Sevens,24
Germany,Swimming,24
Spain,Basketball,24
United States of America,Fencing,24
Japan,Water Polo,23
Australia,Basketball,23
Italy,Fencing,23
Germany,Rowing,23
Great Britain,Rugby Sevens,23
Japan,Basketball,23
Brazil,Volleyball,23
Argentina,Volleyball,23
New Zealand,Rugby Sevens,23
Italy,Rowing,23
France,Basketball,23
Australia,Rugby Sevens,23
United States of America,Basketball,23
Nigeria,Basketball,23
Canada,Rugby Sevens,23
Italy,Volleyball,22
Republic of Korea,Baseball/Softball,22
United States of America,Volleyball,22
Trinidad and Tobago,Athletics,22
South Africa,Water Polo,22
ROC,Volleyball,22
Israel,Baseball/Softball,22
Fiji,Rugby Sevens,22
Canada,Football,22
Finland,Athletics,22
Japan,Volleyball,22
France,Football,21
Saudi Arabia,Football,21
Zambia,Football,21
Kenya,Rugby Sevens,21
Dominican Republic,Baseball/Softball,21
Chile,Football,21
Great Britain,Football,21
ROC,Fencing,21
Mexico,Football,21
People's Republic of China,Football,20
Sweden,Athletics,20
C�te d'Ivoire,Football,20
Romania,Football,20
Greece,Athletics,20
United States of America,Football,20
Nigeria,Athletics,20
Hungary,Swimming,20
Egypt,Football,20
Canada,Swimming,20
Sweden,Football,20
Netherlands,Football,20
Honduras,Football,20
Republic of Korea,Football,20
Argentina,Football,19
Japan,Fencing,19
Hungary,Athletics,19
Portugal,Athletics,19
United States of America,Shooting,19
Spain,Football,19
South Africa,Football,19
Poland,Rowing,19
Germany,Cycling Track,18
Republic of Korea,Fencing,18
Ireland,Hockey,18
Cuba,Athletics,18
Mexico,Athletics,18
Canada,Hockey,18
Uganda,Athletics,18
Ecuador,Athletics,18
ROC,Shooting,17
People's Republic of China,Hockey,17
Hungary,Canoe Sprint,17
France,Swimming,17
France,Fencing,17
Brazil,Swimming,17
Germany,Football,17
New Zealand,Cycling Track,16
ROC,Wrestling,16
Morocco,Athletics,16
Belgium,Hockey,16
Denmark,Athletics,16
Australia,Cycling Track,16
Australia,Baseball/Softball,15
Republic of Korea,Shooting,15
Great Britain,Cycling Track,15
Republic of Korea,Handball,15
People's Republic of China,Fencing,15
Denmark,Handball,15
Germany,Canoe Sprint,15
Argentina,Handball,15
Montenegro,Handball,15
Germany,Handball,15
Norway,Athletics,15
Japan,Sailing,15
Netherlands,Handball,15
Canada,Canoe Sprint,14
Italy,Shooting,14
Canada,Cycling Track,14
Republic of Korea,Judo,14
Australia,Shooting,14
Canada,Baseball/Softball,14
Bahrain,Handball,14
ROC,Handball,14
Egypt,Handball,14
Great Britain,Sailing,14
ROC,Canoe Sprint,14
France,Sailing,14
People's Republic of China,Canoe Sprint,14
Netherlands,Swimming,14
Angola,Handball,14
Hungary,Handball,14
Bahamas,Athletics,14
People's Republic of China,Badminton,14
Italy,Baseball/Softball,14
United States of America,Wrestling,14
Serbia,Water Polo,13
ROC,Judo,13
United States of America,Sailing,13
France,Judo,13
Montenegro,Water Polo,13
Japan,Judo,13
Spain,Sailing,13
Mexico,Diving,13
Canada,Water Polo,13
India,Shooting,13
Brazil,Sailing,13
Netherlands,Water Polo,13
Bahrain,Athletics,13
Australia,Canoe Sprint,13
Canada,Basketball,12
ROC,Water Polo,12
Japan,Equestrian,12
Mongolia,Judo,12
Islamic Republic of Iran,Basketball,12
Czech Republic,Basketball,12
Australia,Sailing,12
People's Republic of China,Water Polo,12
Ireland,Rugby Sevens,12
Portugal,Handball,12
Brazil,Skateboarding,12
Serbia,Basketball,12
Slovenia,Basketball,12
Serbia,Volleyball,12
People's Republic of China,Volleyball,12
Argentina,Rugby Sevens,12
Dominican Republic,Volleyball,12
People's Republic of China,Basketball,12
People's Republic of China,Artistic Gymnastics,12
ROC,Artistic Gymnastics,12
Republic of Korea,Volleyball,12
Canada,Volleyball,12
France,Cycling Track,12
Hungary,Fencing,12
Kenya,Volleyball,12
Brazil,Rugby Sevens,12
South Africa,Swimming,12
Croatia,Water Polo,12
Cuba,Wrestling,12
Italy,Water Polo,12
Argentina,Basketball,12
Japan,Shooting,12
New Zealand,Athletics,12
Islamic Republic of Iran,Volleyball,12
Venezuela,Volleyball,12
Egypt,Fencing,12
Israel,Judo,12
Belgium,Basketball,12
Puerto Rico,Basketball,12
Germany,Basketball,12
Turkey,Volleyball,12
Belarus,Canoe Sprint,12
Greece,Water Polo,12
South Africa,Rugby Sevens,12
United States of America,Artistic Gymnastics,11
Ireland,Rowing,11
Canada,Fencing,11
France,Rugby Sevens,11
Brazil,Judo,11
People's Republic of China,Wrestling,11
Japan,Badminton,11
United States of America,Skateboarding,11
Japan,Wrestling,11
Kazakhstan,Water Polo,11
Germany,Equestrian,11
Islamic Republic of Iran,Wrestling,11
Uzbekistan,Boxing,11
Spain,Canoe Sprint,11
Republic of Korea,Basketball,11
Germany,Judo,11
Great Britain,Equestrian,11
Japan,Artistic Gymnastics,11
France,Volleyball,11
Argentina,Sailing,11
United States of America,Equestrian,11
ROC,Rugby Sevens,11
Sweden,Equestrian,11
France,Equestrian,11
ROC,Boxing,11
Japan,Diving,11
Great Britain,Diving,11
Poland,Volleyball,11
France,Rowing,11
Republic of Korea,Rugby Sevens,11
People's Republic of China,Rugby Sevens,11
Republic of Korea,Badminton,10
United States of America,Tennis,10
Kazakhstan,Wrestling,10
Kazakhstan,Athletics,10
Turkey,Swimming,10
New Zealand,Sailing,10
Netherlands,Equestrian,10
Egypt,Shooting,10
Romania,Athletics,10
Belgium,Equestrian,10
Sweden,Swimming,10
People's Republic of China,Sailing,10
Australia,Tennis,10
ROC,Athletics,10
Indonesia,Badminton,10
Israel,Swimming,10
Tunisia,Volleyball,10
Italy,Cycling Track,10
France,Shooting,10
ROC,Rowing,10
Great Britain,Boxing,10
Netherlands,Sailing,10
United States of America,Diving,10
Japan,Skateboarding,10
Ukraine,Canoe Sprint,10
Netherlands,Judo,10
Australia,Equestrian,10
Japan,Tennis,10
Italy,Basketball,10
Canada,Diving,9
Ukraine,Wrestling,9
Brazil,Equestrian,9
Poland,Cycling Track,9
Denmark,Swimming,9
Switzerland,Rowing,9
Israel,Athletics,9
Azerbaijan,Judo,9
Netherlands,Cycling Track,9
Italy,Cycling Road,9
Kyrgyzstan,Wrestling,9
Canada,Sailing,9
United States of America,Cycling Track,9
Lithuania,Athletics,9
Netherlands,Cycling Road,9
Spain,Artistic Gymnastics,9
Botswana,Athletics,9
Denmark,Rowing,9
Germany,Tennis,9
France,Tennis,9
Ireland,Equestrian,9
Germany,Fencing,9
Slovakia,Athletics,9
Turkey,Wrestling,9
Germany,Sailing,9
Tunisia,Wrestling,9
ROC,Cycling Track,9
Lithuania,Rowing,9
Guatemala,Athletics,9
Eritrea,Athletics,9
Mongolia,Wrestling,9
Sweden,Sailing,9
Georgia,Judo,9
Belgium,Cycling Road,8
Japan,Artistic Swimming,8
Belarus,Wrestling,8
New Zealand,Equestrian,8
Italy,Sailing,8
Portugal,Judo,8
Greece,Sailing,8
Uzbekistan,Wrestling,8
Uzbekistan,Judo,8
Japan,Canoe Sprint,8
Germany,Shooting,8
ROC,Tennis,8
Italy,Artistic Swimming,8
Qatar,Athletics,8
Republic of Korea,Swimming,8
Egypt,Wrestling,8
Canada,Badminton,8
Malaysia,Badminton,8
Algeria,Athletics,8
Norway,Sailing,8
Italy,Judo,8
France,Canoe Sprint,8
Australia,Cycling Road,8
Czech Republic,Shooting,8
Japan,3x3 Basketball,8
Great Britain,Artistic Gymnastics,8
Japan,Karate,8
Spain,Artistic Swimming,8
Egypt,Artistic Swimming,8
Kazakhstan,Boxing,8
Poland,Canoe Sprint,8
Ukraine,Artistic Swimming,8
People's Republic of China,Equestrian,8
Denmark,Sailing,8
United States of America,Beach Volleyball,8
Turkey,Sailing,8
Switzerland,Equestrian,8
United States of America,Boxing,8
United States of America,Weightlifting,8
People's Republic of China,3x3 Basketball,8
Greece,Artistic Swimming,8
Spain,Swimming,8
Algeria,Boxing,8
People's Republic of China,Diving,8
Germany,Artistic Gymnastics,8
"Hong Kong, China",Fencing,8
Denmark,Badminton,8
United States of America,Golf,8
Poland,Swimming,8
ROC,3x3 Basketball,8
Czech Republic,Swimming,8
People's Republic of China,Artistic Swimming,8
Tunisia,Fencing,7
Italy,Rhythmic Gymnastics,7
Argentina,Tennis,7
Latvia,Athletics,7
Germany,Diving,7
Estonia,Athletics,7
Peru,Athletics,7
Spain,Judo,7
ROC,Rhythmic Gymnastics,7
Hungary,Judo,7
Great Britain,Badminton,7
United States of America,Rhythmic Gymnastics,7
Norway,Rowing,7
Portugal,Canoe Sprint,7
Cuba,Boxing,7
Brazil,Beach Volleyball,7
Israel,Rhythmic Gymnastics,7
Dominican Republic,Boxing,7
Canada,Equestrian,7
Kazakhstan,Tennis,7
Georgia,Wrestling,7
Slovakia,Shooting,7
Republic of Korea,Weightlifting,7
Chinese Taipei,Weightlifting,7
Australia,Artistic Swimming,7
India,Boxing,7
Ghana,Athletics,7
Ukraine,Rhythmic Gymnastics,7
ROC,Artistic Swimming,7
Austria,Athletics,7
Japan,Weightlifting,7
Germany,Cycling Road,7
Germany,Wrestling,7
Belarus,Rhythmic Gymnastics,7
United States of America,Cycling Road,7
Japan,Rhythmic Gymnastics,7
Algeria,Wrestling,7
Greece,Swimming,7
Poland,Sailing,7
Dominican Republic,Athletics,7
France,Artistic Gymnastics,7
Australia,Diving,7
Uzbekistan,Athletics,7
Ukraine,Judo,7
Brazil,Boxing,7
Thailand,Badminton,7
India,Wrestling,7
Bulgaria,Wrestling,7
Spain,Tennis,7
Austria,Swimming,7
Bulgaria,Rhythmic Gymnastics,7
Slovenia,Athletics,7
Japan,Cycling Track,7
Croatia,Athletics,7
Denmark,Cycling Track,7
People's Republic of China,Weightlifting,7
Azerbaijan,Wrestling,7
United States of America,Table Tennis,6
Japan,Boxing,6
Czech Republic,Equestrian,6
Denmark,Equestrian,6
ROC,Diving,6
Croatia,Tennis,6
Serbia,Shooting,6
Spain,Rowing,6
Switzerland,Swimming,6
Republic of Korea,Taekwondo,6
Czech Republic,Tennis,6
Australia,Rhythmic Gymnastics,6
Ukraine,Shooting,6
People's Republic of China,Table Tennis,6
United States of America,Archery,6
Switzerland,Sailing,6
Thailand,Shooting,6
Ireland,Cycling Track,6
Turkey,Boxing,6
Portugal,Swimming,6
Chinese Taipei,Table Tennis,6
France,Cycling Road,6
Australia,Table Tennis,6
Ireland,Swimming,6
"Hong Kong, China",Table Tennis,6
Ukraine,Diving,6
Barbados,Athletics,6
New Zealand,Swimming,6
Brazil,Table Tennis,6
Brazil,Artistic Gymnastics,6
Italy,Tennis,6
Germany,Table Tennis,6
Czech Republic,Rowing,6
Canada,Cycling Road,6
Japan,Table Tennis,6
ROC,Beach Volleyball,6
Azerbaijan,Rhythmic Gymnastics,6
Kazakhstan,Judo,6
Denmark,Cycling Road,6
Republic of Korea,Artistic Gymnastics,6
Italy,Equestrian,6
Poland,Wrestling,6
Armenia,Wrestling,6
France,Table Tennis,6
Germany,Beach Volleyball,6
Italy,Diving,6
Japan,Archery,6
Switzerland,Cycling Mountain Bike,6
Refugee Olympic Team,Athletics,6
Ireland,Boxing,6
Republic of Korea,Athletics,6
Netherlands,Beach Volleyball,6
Chinese Taipei,Athletics,6
Ukraine,Swimming,6
Norway,Cycling Road,6
Morocco,Boxing,6
Italy,Beach Volleyball,6
Cuba,Judo,6
Spain,Cycling Road,6
Refugee Olympic Team,Judo,6
Netherlands,Artistic Gymnastics,6
People's Republic of China,Archery,6
New Zealand,Canoe Sprint,6
"Hong Kong, China",Swimming,6
People's Republic of China,Boxing,6
Egypt,Rhythmic Gymnastics,6
Republic of Korea,Archery,6
ROC,Equestrian,6
South Africa,Rowing,6
Poland,Judo,6
Switzerland,Cycling Track,6
Colombia,Boxing,6
Canada,Artistic Swimming,6
ROC,Sailing,6
Islamic Republic of Iran,Shooting,6
Austria,Sailing,6
Poland,Tennis,6
Republic of Korea,Table Tennis,6
Italy,Artistic Gymnastics,6
Chinese Taipei,Archery,6
Republic of Moldova,Athletics,5
Hungary,Wrestling,5
Brazil,Tennis,5
Uzbekistan,Rhythmic Gymnastics,5
Turkey,Artistic Gymnastics,5
Canada,Judo,5
Israel,Sailing,5
Great Britain,Triathlon,5
Germany,Badminton,5
Mexico,Equestrian,5
Serbia,Judo,5
Canada,Boxing,5
Chinese Taipei,Badminton,5
New Zealand,Weightlifting,5
Brazil,Rhythmic Gymnastics,5
Bulgaria,Swimming,5
People's Republic of China,Taekwondo,5
Switzerland,Cycling Road,5
Slovenia,Judo,5
Norway,Shooting,5
Belgium,Cycling Track,5
Indonesia,Weightlifting,5
Italy,Triathlon,5
People's Republic of China,Cycling Track,5
United States of America,Triathlon,5
Bulgaria,Athletics,5
Ukraine,Artistic Gymnastics,5
Spain,Triathlon,5
Republic of Korea,Golf,5
Great Britain,Judo,5
Australia,Triathlon,5
Great Britain,Cycling Road,5
Nigeria,Wrestling,5
France,Cycling BMX Racing,5
Georgia,Athletics,5
Argentina,Athletics,5
Austria,Table Tennis,5
Canada,Weightlifting,5
Romania,Wrestling,5
Australia,Skateboarding,5
Egypt,Table Tennis,5
Morocco,Equestrian,5
Cuba,Canoe Sprint,5
Egypt,Athletics,5
Great Britain,Archery,5
Ukraine,Boxing,5
Chinese Taipei,Tennis,5
Tunisia,Weightlifting,5
People's Republic of China,Judo,5
People's Republic of China,Rhythmic Gymnastics,5
Austria,Equestrian,5
France,Boxing,5
Kazakhstan,Karate,5
Italy,Karate,5
France,Skateboarding,5
Republic of Korea,Diving,5
Finland,Sailing,5
Portugal,Sailing,5
People's Republic of China,Tennis,5
Jordan,Boxing,5
Turkey,Judo,5
Malaysia,Diving,5
Great Britain,Tennis,5
Turkey,Karate,5
Austria,Judo,5
Great Britain,Taekwondo,5
Serbia,Athletics,5
Hungary,Table Tennis,5
Belarus,Swimming,5
Australia,Weightlifting,5
Chinese Taipei,Shooting,5
Peru,Sailing,5
Great Britain,Shooting,5
Kazakhstan,Canoe Sprint,5
Finland,Swimming,5
Argentina,Boxing,5
Poland,Cycling Road,5
France,Triathlon,5
Canada,Artistic Gymnastics,5
Turkey,Taekwondo,5
Belarus,Rowing,5
Cuba,Shooting,5
Portugal,Table Tennis,5
Switzerland,Beach Volleyball,5
Serbia,Swimming,5
Colombia,Cycling Road,5
Spain,Equestrian,5
Netherlands,Cycling BMX Racing,5
Poland,Fencing,5
India,Sailing,4
Canada,Wrestling,4
Croatia,Sailing,4
Mexico,Golf,4
Netherlands,Archery,4
Slovenia,Cycling Road,4
Latvia,Beach Volleyball,4
France,Archery,4
Ireland,Golf,4
Tunisia,Sailing,4
Germany,Archery,4
Turkmenistan,Weightlifting,4
Peru,Surfing,4
Canada,Skateboarding,4
United States of America,Cycling Mountain Bike,4
Argentina,Shooting,4
Egypt,Equestrian,4
Italy,3x3 Basketball,4
Japan,Beach Volleyball,4
Mexico,Weightlifting,4
Switzerland,Triathlon,4
Australia,Beach Volleyball,4
Germany,Karate,4
Spain,Weightlifting,4
Brazil,Diving,4
Venezuela,Weightlifting,4
Slovenia,Canoe Slalom,4
Mexico,Sailing,4
Japan,Sport Climbing,4
Uzbekistan,Taekwondo,4
Puerto Rico,Athletics,4
France,Weightlifting,4
Egypt,Taekwondo,4
Netherlands,Tennis,4
Egypt,Modern Pentathlon,4
Estonia,Fencing,4
Islamic Republic of Iran,Athletics,4
Belgium,Tennis,4
Kosovo,Judo,4
Austria,Cycling Road,4
Belgium,Artistic Gymnastics,4
United States of America,Judo,4
Lithuania,Swimming,4
Canada,Tennis,4
Japan,Cycling Road,4
Japan,Trampoline Gymnastics,4
Serbia,Wrestling,4
Sweden,Table Tennis,4
Chinese Taipei,Boxing,4
Spain,Canoe Slalom,4
Poland,3x3 Basketball,4
Australia,Badminton,4
"Hong Kong, China",Cycling Track,4
Switzerland,Fencing,4
Denmark,Golf,4
Norway,Triathlon,4
Spain,Taekwondo,4
Republic of Korea,Sailing,4
Chinese Taipei,Artistic Gymnastics,4
ROC,Taekwondo,4
Australia,Golf,4
Ecuador,Weightlifting,4
Czech Republic,Cycling Road,4
Great Britain,Modern Pentathlon,4
Great Britain,Weightlifting,4
South Africa,Cycling Road,4
Croatia,Shooting,4
Philippines,Boxing,4
Hungary,Triathlon,4
Democratic Republic of the Congo,Boxing,4
Egypt,Karate,4
India,Archery,4
ROC,Triathlon,4
Australia,Surfing,4
Belarus,Boxing,4
Thailand,Boxing,4
Nigeria,Table Tennis,4
Switzerland,Canoe Slalom,4
Serbia,Tennis,4
Norway,Swimming,4
